order_id,customer_id,product_id,order_date,quantity,unit_price,payment_mode,status
O001,C01,E02,2026-01-10,2,2499,UPI,Completed
O002,C02,F01,2026-01-18,3,899,Card,Completed
O003,C03,H01,2026-01-25,1,3299,Wallet,Completed
O004,C04,B01,2026-02-03,4,399,Cash,Completed
O005,C05,E03,2026-02-15,2,12999,Card,Completed
O006,C06,F02,2026-02-22,2,2499,UPI,Cancelled
O007,C07,H03,2026-03-05,1,5999,Wallet,Completed
O008,C08,B02,2026-03-11,5,799,UPI,Completed
O009,C09,E04,2026-03-19,3,1799,Cash,Completed
O010,C10,F03,2026-03-27,2,1599,Card,Completed
O011,C11,H02,2026-04-04,2,1299,UPI,Completed
O012,C12,B03,2026-04-12,6,599,Wallet,Completed
O013,C13,E01,2026-04-20,1,54999,Card,Completed
O014,C14,F04,2026-04-28,2,3499,UPI,Completed
O015,C15,H04,2026-05-06,2,2899,Cash,Completed
O016,C16,B04,2026-05-14,8,299,UPI,Completed
O017,C17,E03,2026-05-22,2,12999,Card,Completed
O018,C18,F02,2026-05-30,3,2499,Wallet,Completed
O019,C19,H01,2026-06-08,2,3299,UPI,Completed
O020,C20,B02,2026-06-16,4,799,Cash,Completed
O021,C01,E02,2026-06-24,3,2499,UPI,Completed
O022,C02,F01,2026-07-03,4,899,Card,Completed
O023,C03,H03,2026-07-11,2,5999,Wallet,Completed
O024,C04,B01,2026-07-19,5,399,UPI,Completed
O025,C05,E01,2026-07-27,1,54999,Card,Completed
O026,C06,F04,2026-08-04,2,3499,Cash,Cancelled
O027,C07,H04,2026-08-12,3,2899,Wallet,Completed
O028,C08,B02,2026-08-20,4,799,UPI,Completed
O029,C09,E03,2026-08-28,1,12999,Card,Completed
O030,C10,F02,2026-09-05,2,2499,UPI,Completed
O031,C11,H01,2026-09-13,2,3299,Cash,Completed
O032,C12,B03,2026-09-21,5,599,Wallet,Completed
O033,C13,E01,2026-09-29,1,54999,Card,Completed
O034,C14,F04,2026-10-07,2,3499,UPI,Completed
O035,C15,H03,2026-10-15,1,5999,Wallet,Completed
O036,C16,B04,2026-10-23,7,299,Cash,Completed
O037,C17,E03,2026-10-31,2,12999,Card,Completed
O038,C18,F02,2026-11-08,3,2499,UPI,Completed
O039,C19,H04,2026-11-16,2,2899,Wallet,Completed
O040,C20,B02,2026-11-24,5,799,Cash,Completed
O041,C17,E01,2026-12-02,1,54999,Card,Completed
O042,C05,E03,2026-12-10,2,12999,UPI,Cancelled
O043,C15,H03,2026-12-18,2,5999,Wallet,Completed
O044,C13,F04,2026-12-26,2,3499,Card,Completed
O045,C14,B01,2026-12-30,6,399,UPI,Cancelled
